Position,Teams,Year
3,Los Angeles Lakers,1998.0
4,Seattle Supersonics,1998.0
4,New York Knicks,1998.0
4,San Antonio Spurs,1998.0
4,Charlotte Hornets,1998.0
5,Minnesota Timberwolves,1998.0
5,Miami Heat,1998.0
5,Houston Rockets,1998.0
5,Portland Trail Blazers,1998.0
5,Phoenix Suns,1998.0
5,Atlanta Hawks,1998.0
5,Cleveland Cavaliers,1998.0
5,New Jersey Nets,1998.0
1,San Antonio Spurs,1999.0
2,New York Knicks,1999.0
3,Indiana Pacers,1999.0
3,Portland Trail Blazers,1999.0
4,Utah Jazz,1999.0
4,Los Angeles Lakers,1999.0
4,Atlanta Hawks,1999.0
4,Philadelphia 76ers,1999.0
5,Sacramento Kings,1999.0
5,Detroit Pistons,1999.0
5,Miami Heat,1999.0
5,Houston Rockets,1999.0
5,Orlando Magic,1999.0
5,Minnesota Timberwolves,1999.0
5,Milwaukee Bucks,1999.0
5,Phoenix Suns,1999.0
1,Los Angeles Lakers,2000.0
2,Indiana Pacers,2000.0
3,Portland Trail Blazers,2000.0
3,New York Knicks,2000.0
4,Philadelphia 76ers,2000.0
4,Utah Jazz,2000.0
4,Miami Heat,2000.0
4,Phoenix Suns,2000.0
5,Sacramento Kings,2000.0
5,Milwaukee Bucks,2000.0
5,Seattle Supersonics,2000.0
5,Charlotte Hornets,2000.0
5,Minnesota Timberwolves,2000.0
5,San Antonio Spurs,2000.0
5,Toronto Raptors,2000.0
5,Detroit Pistons,2000.0
1,Los Angeles Lakers,2001.0
2,Philadelphia 76ers,2001.0
3,Milwaukee Bucks,2001.0
3,Los Angeles Lakers,2001.0
4,San Antonio Spurs,2001.0
4,Toronto Raptors,2001.0
4,Charlotte Hornets,2001.0
4,Dallas Mavericks,2001.0
5,Sacramento Kings,2001.0
5,Utah Jazz,2001.0
5,New York Knicks,2001.0
5,Orlando Magic,2001.0
5,Phoenix Suns,2001.0
5,Indiana Pacers,2001.0
5,Minnesota Timberwolves,2001.0
5,Portland Trail Blazers,2001.0
1,Los Angeles Lakers,2002.0
2,New Jersey Nets,2002.0
3,Sacramento Kings,2002.0
3,Boston Celtics,2002.0
4,San Antonio Spurs,2002.0
4,Dallas Mavericks,2002.0
4,Charlotte Hornets,2002.0
4,Detroit Pistons,2002.0
5,Indiana Pacers,2002.0
5,Philadelphia 76ers,2002.0
5,Seattle Supersonics,2002.0
5,Toronto Raptors,2002.0
5,Orlando Magic,2002.0
5,Utah Jazz,2002.0
5,Minnesota Timberwolves,2002.0
5,Portland Trail Blazers,2002.0
1,San Antonio Spurs,2003.0
2,Dallas Mavericks,2003.0
3,New Jersey Nets,2003.0
3,Detroit Pistons,2003.0
4,Sacramento Kings,2003.0
4,Los Angeles Lakers,2003.0
4,Philadelphia 76ers,2003.0
4,Boston Celtics,2003.0
5,Portland Trail Blazers,2003.0
5,Orlando Magic,2003.0
5,Minnesota Timberwolves,2003.0
5,Milwaukee Bucks,2003.0
5,New Orleans Hornets,2003.0
5,Indiana Pacers,2003.0
5,Phoenix Suns,2003.0
5,Utah Jazz,2003.0
1,Detroit Pistons,2004.0
2,Los Angeles Lakers,2004.0
3,Minnesota Timberwolves,2004.0
3,Indiana Pacers,2004.0
4,Sacramento Kings,2004.0
4,Miami Heat,2004.0
4,New Jersey Nets,2004.0
4,San Antonio Spurs,2004.0
5,New Orleans Hornets,2004.0
5,Dallas Mavericks,2004.0
5,Denver Nuggets,2004.0
5,Milwaukee Bucks,2004.0
5,Houston Rockets,2004.0
5,Boston Celtics,2004.0
5,New York Knicks,2004.0
5,Memphis Grizzlies,2004.0
1,San Antonio Spurs,2005.0
2,Detroit Pistons,2005.0
3,Phoenix Suns,2005.0
3,Miami Heat,2005.0
4,Dallas Mavericks,2005.0
4,Indiana Pacers,2005.0
4,Seattle Supersonics,2005.0
4,Washington Wizards,2005.0
5,Houston Rockets,2005.0
5,Chicago Bulls,2005.0
5,Boston Celtics,2005.0
5,Sacramento Kings,2005.0
5,Philadelphia 76ers,2005.0
5,Denver Nuggets,2005.0
5,Memphis Grizzlies,2005.0
5,New Jersey Nets,2005.0
1,Miami Heat,2006.0
2,Dallas Mavericks,2006.0
3,Phoenix Suns,2006.0
3,Detroit Pistons,2006.0
4,San Antonio Spurs,2006.0
4,Los Angeles Clippers,2006.0
4,Cleveland Cavaliers,2006.0
4,New Jersey Nets,2006.0
5,Los Angeles Lakers,2006.0
5,Washington Wizards,2006.0
5,Chicago Bulls,2006.0
5,Sacramento Kings,2006.0
5,Indiana Pacers,2006.0
5,Milwaukee Bucks,2006.0
5,Denver Nuggets,2006.0
5,Memphis Grizzlies,2006.0
1,San Antonio Spurs,2007.0
2,Cleveland Cavaliers,2007.0
3,Utah Jazz,2007.0
3,Detroit Pistons,2007.0
4,Golden State Warriors,2007.0
4,Phoenix Suns,2007.0
4,New Jersey Nets,2007.0
4,Chicago Bulls,2007.0
5,Houston Rockets,2007.0
5,Dallas Mavericks,2007.0
5,Toronto Raptors,2007.0
5,Los Angeles Lakers,2007.0
5,Denver Nuggets,2007.0
5,Washington Wizards,2007.0
5,Miami Heat,2007.0
5,Orlando Magic,2007.0
1,Boston Celtics,2008.0
2,Los Angeles Lakers,2008.0
3,San Antonio Spurs,2008.0
3,Detroit Pistons,2008.0
4,Utah Jazz,2008.0
4,Cleveland Cavaliers,2008.0
4,New Orleans Hornets,2008.0
4,Orlando Magic,2008.0
5,Atlanta Hawks,2008.0
5,Washington Wizards,2008.0
5,Houston Rockets,2008.0
5,Philadelphia 76ers,2008.0
5,Phoenix Suns,2008.0
5,Toronto Raptors,2008.0
5,Dallas Mavericks,2008.0
5,Denver Nuggets,2008.0
1,Los Angeles Lakers,2009.0
2,Orlando Magic,2009.0
3,Denver Nuggets,2009.0
3,Boston Celtics,2009.0
4,Cleveland Cavaliers,2009.0
4,Houston Rockets,2009.0
4,Dallas Mavericks,2009.0
4,Atlanta Hawks,2009.0
5,Chicago Bulls,2009.0
5,Miami Heat,2009.0
5,Philadelphia 76ers,2009.0
5,Portland Trail Blazers,2009.0
5,Utah Jazz,2009.0
5,San Antonio Spurs,2009.0
5,New Orleans Hornets,2009.0
5,Detroit Pistons,2009.0
1,Los Angeles Lakers,2010.0
2,Boston Celtics,2010.0
3,Phoenix Suns,2010.0
3,Orlando Magic,2010.0
4,Cleveland Cavaliers,2010.0
4,Utah Jazz,2010.0
4,Atlanta Hawks,2010.0
4,San Antonio Spurs,2010.0
5,Denver Nuggets,2010.0
5,Milwaukee Bucks,2010.0
5,Oklahoma City Thunder,2010.0
5,Portland Trail Blazers,2010.0
5,Dallas Mavericks,2010.0
5,Chicago Bulls,2010.0
5,Miami Heat,2010.0
5,Charlotte Bobcats,2010.0
1,Dallas Mavericks,2011.0
2,Miami Heat,2011.0
3,Oklahoma City Thunder,2011.0
3,Chicago Bulls,2011.0
4,Memphis Grizzlies,2011.0
4,Atlanta Hawks,2011.0
4,Los Angeles Lakers,2011.0
4,Boston Celtics,2011.0
5,San Antonio Spurs,2011.0
5,New Orleans Hornets,2011.0
5,Orlando Magic,2011.0
5,Portland Trail Blazers,2011.0
5,Denver Nuggets,2011.0
5,Indiana Pacers,2011.0
5,Philadelphia 76ers,2011.0
5,New York Knicks,2011.0
1,Miami Heat,2012.0
2,Oklahoma City Thunder,2012.0
3,Boston Celtics,2012.0
3,San Antonio Spurs,2012.0
4,Los Angeles Lakers,2012.0
4,Philadelphia 76ers,2012.0
4,Los Angeles Clippers,2012.0
4,Indiana Pacers,2012.0
5,Denver Nuggets,2012.0
5,Memphis Grizzlies,2012.0
5,Chicago Bulls,2012.0
5,Atlanta Hawks,2012.0
5,Orlando Magic,2012.0
5,New York Knicks,2012.0
5,Dallas Mavericks,2012.0
5,Utah Jazz,2012.0
1,Miami Heat,2013.0
2,San Antonio Spurs,2013.0
3,Indiana Pacers,2013.0
3,Memphis Grizzlies,2013.0
4,Golden State Warriors,2013.0
4,Chicago Bulls,2013.0
4,Oklahoma City Thunder,2013.0
4,New York Knicks,2013.0
5,Brooklyn Nets,2013.0
5,Denver Nuggets,2013.0
5,Houston Rockets,2013.0
5,Los Angeles Clippers,2013.0
5,Atlanta Hawks,2013.0
5,Boston Celtics,2013.0
5,Los Angeles Lakers,2013.0
5,Milwaukee Bucks,2013.0
1,San Antonio Spurs,2014.0
2,Oklahoma City Thunder,2014.0
3,Miami Heat,2014.0
3,Indiana Pacers,2014.0
4,Los Angeles Clippers,2014.0
4,Portland Trail Blazers,2014.0
4,Brooklyn Nets,2014.0
4,Washington Wizards,2014.0
5,Golden State Warriors,2014.0
5,Dallas Mavericks,2014.0
5,Memphis Grizzlies,2014.0
5,Toronto Raptors,2014.0
5,Houston Rockets,2014.0
5,Atlanta Hawks,2014.0
5,Chicago Bulls,2014.0
5,Charlotte Hornets,2014.0
1,Golden State Warriors,2015.0
2,Cleveland Cavaliers,2015.0
3,Houston Rockets,2015.0
3,Atlanta Hawks,2015.0
4,Los Angeles Clippers,2015.0
4,Chicago Bulls,2015.0
4,Memphis Grizzlies,2015.0
4,Washington Wizards,2015.0
5,San Antonio Spurs,2015.0
5,Brooklyn Nets,2015.0
5,Dallas Mavericks,2015.0
5,Milwaukee Bucks,2015.0
5,Portland Trail Blazers,2015.0
5,New Orleans Pelicans,2015.0
5,Toronto Raptors,2015.0
5,Boston Celtics,2015.0
1,Cleveland Cavaliers,2016.0
2,Golden State Warriors,2016.0
3,Oklahoma City Thunder,2016.0
3,Toronto Raptors,2016.0
4,Miami Heat,2016.0
4,Portland Trail Blazers,2016.0
4,San Antonio Spurs,2016.0
4,Atlanta Hawks,2016.0
5,Indiana Pacers,2016.0
5,Charlotte Hornets,2016.0
5,Los Angeles Clippers,2016.0
5,Boston Celtics,2016.0
5,Dallas Mavericks,2016.0
5,Houston Rockets,2016.0
5,Detroit Pistons,2016.0
5,Memphis Grizzlies,2016.0
1,Golden State Warriors,2017.0
2,Cleveland Cavaliers,2017.0
3,Boston Celtics,2017.0
3,San Antonio Spurs,2017.0
4,Washington Wizards,2017.0
4,Houston Rockets,2017.0
4,Utah Jazz,2017.0
4,Toronto Raptors,2017.0
5,Los Angeles Clippers,2017.0
5,Atlanta Hawks,2017.0
5,Chicago Bulls,2017.0
5,Memphis Grizzlies,2017.0
5,Milwaukee Bucks,2017.0
5,Oklahoma City Thunder,2017.0
5,Indiana Pacers,2017.0
5,Portland Trail Blazers,2017.0
